executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n2CpuUsage,n2MemoryUsage,n4CpuUsage,n4MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621110330.6547313,1621110334.6870651,4.032333850860596,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,4.292999982833862,1621110330.398,1621110334.691,bb970b0d-9c71-4e24-90da-94afe1b119c7,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.2567312717437744
1621110331.6395116,1621110335.2121038,3.572592258453369,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,3.819000005722046,1621110331.399,1621110335.218,ebe5477c-8fbe-4503-8b31-81073d1293a0,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.24051165580749512
1621110332.8793447,1621110336.8577504,3.978405714035034,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,4.51200008392334,1621110332.398,1621110336.91,bbc8ec57-5f15-44a3-82d0-b0b53adb903c,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1,0.48134469985961914
1621110333.652338,1621110338.7106612,5.05832314491272,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,5.371000051498413,1621110333.398,1621110338.769,a0015200-e9c1-49cc-9251-9710ebf0986d,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,999m,0.25433802604675293
1621110334.8126214,1621110342.309751,7.497129678726196,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,7.921999931335449,1621110334.398,1621110342.32,b1c3ef72-1042-483e-92d2-abb3743171d8,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.41462135314941406
1621110338.654827,1621110342.4032,3.748372793197632,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,4.015000104904175,1621110338.399,1621110342.414,6aeed1c4-75c8-4f79-8396-3105607f20e6,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.2558271884918213
1621110335.5813315,1621110343.8406756,8.259344100952148,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,8.5,1621110335.398,1621110343.898,83bcb2ae-6990-477f-b835-5417e799182f,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1099m,0.18333148956298828
1621110340.0954397,1621110345.1327865,5.037346839904785,27ceedc0-c78c-468e-80fe-463fbb01e9d7,1621076758,200,5.74399995803833,1621110339.398,1621110345.142,c2fe23d8-585a-4c10-a6bf-8742726f2749,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1099m,0.6974396705627441
1621110341.7044916,1621110345.4924605,3.787968873977661,7b00c276-c9f0-4e22-b11d-00bd81ccd72e,1621076759,200,4.104000091552734,1621110341.399,1621110345.503,3aa9a3f2-e585-442a-b988-5c7b2e0f71cd,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1099m,0.30549168586730957
1621110337.0406172,1621110346.6597211,9.619103908538818,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,10.315000057220459,1621110336.398,1621110346.713,018cb473-a518-415f-8982-9a782e1d148b,4,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1099m,0.6426172256469727
