executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-2vcpu-4gb-5-default-pool-8ag4sCpuUsage,s-2vcpu-4gb-5-default-pool-8ag4sMemoryUsage,s-2vcpu-4gb-5-default-pool-8ag44CpuUsage,s-2vcpu-4gb-5-default-pool-8ag44MemoryUsage,s-2vcpu-4gb-5-default-pool-8ag4kCpuUsage,s-2vcpu-4gb-5-default-pool-8ag4kMemoryUsage,s-2vcpu-4gb-5-default-pool-8ag45CpuUsage,s-2vcpu-4gb-5-default-pool-8ag45MemoryUsage,s-2vcpu-4gb-5-default-pool-8ag4hCpuUsage,s-2vcpu-4gb-5-default-pool-8ag4hMemoryUsage,functionInvocationRate,schedulingLatency
,,,,,500,43.46299982070923,1623492069.295,1623492112.758,ad58f66f-f7a5-49e2-aae7-47d60582d939,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,500,42.4539999961853,1623492070.294,1623492112.748,8973be46-a798-4275-9692-3b5c67881a57,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,500,55.47499990463257,1623492057.288,1623492112.763,0c2fd851-e452-4738-a057-d1d093eaedd9,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,500,51.47199988365173,1623492061.288,1623492112.76,86783b0f-cb2d-41d0-b916-c1a206cc4524,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,500,37.824000120162964,1623492075.294,1623492113.118,5356da51-75ac-401f-8daa-70e583bab489,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,500,30.461000204086304,1623492082.294,1623492112.755,86036296-7648-476d-891e-8e6899dc0bcf,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,502,60.11899995803833,1623492055.288,1623492115.407,3e0be07a-ed87-42c6-a950-d9b2f2c29946,3,474998580n,737232Ki,72767913n,670528Ki,45742992n,677184Ki,466086020n,679644Ki,34481138n,621396Ki,,
,,,,,502,60.117999792099,1623492056.288,1623492116.406,02e5dce8-ce39-4202-ab14-6d04b3bd5f03,3,94409075n,736476Ki,84954388n,670804Ki,46755088n,677788Ki,1999849991n,3463348Ki,32533520n,621176Ki,,
,,,,,500,51.23399996757507,1623492068.295,1623492119.529,f035d287-ef74-4559-86cf-b67af3dc35e4,3,94409075n,736476Ki,84954388n,670804Ki,46755088n,677788Ki,1999849991n,3463348Ki,32533520n,621176Ki,,
,,,,,502,60.121999979019165,1623492060.289,1623492120.411,33bc6427-672d-4438-8ecb-2d3a251e88a2,3,94409075n,736476Ki,84954388n,670804Ki,46755088n,677788Ki,1999849991n,3463348Ki,32533520n,621176Ki,,
