executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621019712.4409332,1621019714.402955,1.962021827697754,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1070001125335693,1621019712.3,1621019714.407,9bd74e2b-fadb-4c87-8e9d-cf1b9db79ac3,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,299m,0.14093327522277832
1621019714.9286356,1621019716.8971484,1.968512773513794,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1000001430511475,1621019714.8,1621019716.9,18bed727-6651-4e5e-a068-0163d848f6f3,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,300m,0.12863564491271973
1621019717.4387534,1621019719.4717937,2.0330402851104736,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1740000247955322,1621019717.3,1621019719.474,92919eaa-ea7c-45b6-b598-d76ebe5a9d15,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.13875341415405273
1621019719.9356997,1621019721.9019728,1.9662730693817139,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1059999465942383,1621019719.8,1621019721.906,f3efc0a0-9d16-48a1-b840-b487d4e79a8e,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.13569974899291992
1621019722.5039432,1621019724.443895,1.9399518966674805,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.0920000076293945,1621019722.3,1621019724.392,096e8209-a255-43a9-9e29-55af90a873ae,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.20394325256347656
1621019724.9822176,1621019726.8470476,1.8648300170898438,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.9950001239776611,1621019724.8,1621019726.795,f299766b-aeff-450c-9e47-959d0732c94b,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.18221759796142578
1621019727.4312353,1621019729.527209,2.0959737300872803,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.2300000190734863,1621019727.3,1621019729.531,ab182a1a-82b5-4804-a81d-d49fe0387692,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,500m,0.13123536109924316
1621019729.9414015,1621019731.9710443,2.0296428203582764,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1740000247955322,1621019729.8,1621019731.974,11a5a1d7-4024-4174-89d8-da4eaee69c93,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.1414015293121338
1621019732.490172,1621019734.6803696,2.190197706222534,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.330000162124634,1621019732.3,1621019734.63,d3cae83b-5d29-4245-a59a-26abe52994a9,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.1901719570159912
1621019735.0123284,1621019736.9912643,1.978935956954956,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.140000104904175,1621019734.8,1621019736.94,71e1683b-3b87-412b-b2e9-bebc53ec326a,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,400m,0.21232843399047852
1621019737.4582078,1621019739.623933,2.1657252311706543,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.327000141143799,1621019737.3,1621019739.627,4b9fba0c-0bcf-4e7e-af82-51292de0b0a3,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,300m,0.15820789337158203
1621019739.9853613,1621019742.2085402,2.2231788635253906,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.3570001125335693,1621019739.8,1621019742.157,f34e7b1b-72f4-4bf1-b1ba-dbe7ead5ee24,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,300m,0.18536138534545898
1621019742.5051112,1621019745.2401354,2.7350242137908936,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.8960001468658447,1621019742.3,1621019745.196,6c596de1-df39-45f6-9497-dcbf185dfd9a,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.20511126518249512
1621019745.1679606,1621019748.7957807,3.6278200149536133,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.949000120162964,1621019744.8,1621019748.749,88dbfb80-6249-43e0-97d4-55252a996315,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.36796069145202637
1621019747.7150693,1621019751.3292978,3.6142284870147705,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.9820001125335693,1621019747.3,1621019751.282,c8b3f520-93d8-42e6-b62b-1d853e349735,2,727471363n,1903168Ki,801190556n,1264664Ki,172575441n,1361220Ki,227460180n,1310608Ki,153688046n,1157248Ki,500m,0.4150693416595459
