executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-4vcpu-8gb-10-default-pool-8tonlCpuUsage,s-4vcpu-8gb-10-default-pool-8tonlMemoryUsage,s-4vcpu-8gb-10-default-pool-8tonwCpuUsage,s-4vcpu-8gb-10-default-pool-8tonwMemoryUsage,s-4vcpu-8gb-10-default-pool-8tonbCpuUsage,s-4vcpu-8gb-10-default-pool-8tonbMemoryUsage,s-4vcpu-8gb-10-default-pool-8tongCpuUsage,s-4vcpu-8gb-10-default-pool-8tongMemoryUsage,s-4vcpu-8gb-10-default-pool-8ton6CpuUsage,s-4vcpu-8gb-10-default-pool-8ton6MemoryUsage,s-4vcpu-8gb-10-default-pool-8tonaCpuUsage,s-4vcpu-8gb-10-default-pool-8tonaMemoryUsage,s-4vcpu-8gb-10-default-pool-8tonrCpuUsage,s-4vcpu-8gb-10-default-pool-8tonrMemoryUsage,s-4vcpu-8gb-10-default-pool-8toneCpuUsage,s-4vcpu-8gb-10-default-pool-8toneMemoryUsage,s-4vcpu-8gb-10-default-pool-8tontCpuUsage,s-4vcpu-8gb-10-default-pool-8tontMemoryUsage,s-4vcpu-8gb-10-default-pool-8ton2CpuUsage,s-4vcpu-8gb-10-default-pool-8ton2MemoryUsage,functionInvocationRate,schedulingLatency
1624504865.1524034,1624504867.7780907,2.62568736076355,7014f799-4774-437a-955a-baa59e269b67,1624502055,200,2.8980000019073486,1624504864.917,1624504867.815,9f240b07-d22e-462e-a960-37cf98cdace2,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.23540329933166504
1624504866.1980436,1624504869.3356602,3.1376166343688965,2bd77672-e0d0-4210-abad-bcea02711ce8,1624502058,200,3.4589998722076416,1624504865.917,1624504869.376,548f27fe-d7f8-4554-b8ac-633131dcd74e,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.28104352951049805
1624504866.8242488,1624504869.4581208,2.6338720321655273,f5b37a8a-a16d-40c2-a79b-19f42b41dca7,1624502044,200,2.9039998054504395,1624504866.584,1624504869.488,615024d1-c50e-4784-8df6-a52e800ce69b,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.2402486801147461
1624504865.9222002,1624504869.8035467,3.8813464641571045,9c0014ba-512c-49a1-b301-168f0852e9ba,1624502075,200,4.248999834060669,1624504865.584,1624504869.833,9df8054d-18c3-443a-80e2-d02fedc41d97,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.33820009231567383
1624504867.1607718,1624504869.8450823,2.6843104362487793,f5b37a8a-a16d-40c2-a79b-19f42b41dca7,1624502044,200,2.9570000171661377,1624504866.917,1624504869.874,d96f88ad-86a6-4cb6-b19c-2a26214f3a3c,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.24377179145812988
1624504864.294789,1624504869.8901317,5.595342636108398,26d5bd90-2c07-41d4-a165-534950153c95,1624502040,200,6.00600004196167,1624504863.916,1624504869.922,5e1aa231-daae-4820-98e0-9e3335a604f1,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.37878918647766113
1624504867.5201535,1624504870.7358282,3.215674638748169,88cf9b63-84b2-46a4-bf33-f77143883b74,1624502050,200,3.5450000762939453,1624504867.25,1624504870.795,b7843a78-cd49-42c7-8fcc-057122b8e3e8,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.2701535224914551
1624504867.847115,1624504871.0223365,3.1752214431762695,a0065060-7658-4c57-ba8a-e358ed6bb063,1624502050,200,3.490999937057495,1624504867.583,1624504871.074,3e8f672f-f2ac-449e-bc56-08cd647b7dc1,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.2641150951385498
1624504868.8129861,1624504871.3713727,2.5583865642547607,7014f799-4774-437a-955a-baa59e269b67,1624502055,200,2.818000078201294,1624504868.587,1624504871.405,66d5c4a1-d33c-4215-963e-30e0e4723596,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1399m,0.22598624229431152
1624504869.5034516,1624504872.0233428,2.5198912620544434,7014f799-4774-437a-955a-baa59e269b67,1624502055,200,2.81499981880188,1624504869.249,1624504872.064,9104c94c-eaa3-4781-b2a5-0e1fab708694,14,56871921n,814764Ki,52352020n,814492Ki,70695263n,804956Ki,69922252n,847904Ki,64794799n,797576Ki,78495591n,872452Ki,54255415n,808220Ki,48041170n,793236Ki,46471892n,793584Ki,42388164n,780780Ki,1799m,0.2544515132904053
